#,Title,Alert Type,Status,Start,End,Latitude,Longitude,Source,Description,ID
1,🚨⚠️🔫 Operativo en Tapalpa tras enfrentamiento armado,safety,PAST,2026-02-22 15:44,2026-02-23 05:00,19.9478857,-103.7624879,C3ntro,"Tras realizar un operativo policiaco en Tapalpa Jalisco, se derivo un enfrentamiento armado, del cual se desplegaron. múltiples narcobloquoes y quema de unidades.

#NAB",878fb9bc-02a3-4abc-8b68-378291a05baf
2,"🚨⚠️🔫  Ataque armado en Los Charcos, Guanajuato ",safety,PAST,2026-02-22 16:10,2026-02-23 04:00,20.92738693,-101.4978141,C3ntro,"Situación de riesgo debido a presunto ataque armado.

- Precaución en la zona.

#NAB",651284db-5c73-4686-919c-0b26484329b5
3,🚨⚠️🔫 Situación de riesgo en Zapopan,safety,PAST,2026-02-22 22:00,2026-02-23 00:00,20.74043,-103.399386,C3ntro,"Av. Periférico y  Valdepeñas situación de riesgo (quema de unidades).

*Ubicación de referencia

#NAB
",9603a240-5bf1-4b88-a9b2-3e2758098ad8
4,🚨⚠️🔫 Situación de riesgo en Zapopan,safety,PAST,2026-02-22 22:00,2026-02-23 00:00,20.73351535,-103.3601426,C3ntro,"Av. Periférico y Av. Tabachines, situación de riesgo (quema de unidades).

*Ubicación de referencia

#NAB
",e72c2b5e-776f-45b5-8747-7ff66144da14
5,🚨⚠️🔫 Situación de riesgo en Zapopan,safety,PAST,2026-02-22 22:00,2026-02-23 00:00,20.78187035,-103.4628603,C3ntro,"Juan Gil Preciado y Carr. Colotlán, situación de riesgo (quema de unidades).

*Ubicación de referencia

#NAB
",0a9f3649-1c9d-440b-a00b-8f3971f90a55
6,🚧🦺👷Cierre parcial por obras de mantenimiento en Av. del Iman,general,ACTIVE,2025-11-15 18:50,2026-02-28 18:52,19.30426551,-99.16001411,C3ntro,"📍Coyoacán, CDMX
A la altura del Parque Ecológico Santa Ursula, cierre parcial en ambos sentidos debido a labores de mantenimiento.

Vigencia: febrero 2026.",56a7edcb-6ea3-4415-9ba7-671443f8a6f5
7,🚨⚠️🔫 Situación de riesgo por quema de banco del Bienestar JALISCO,safety,PAST,2026-02-22 21:34,2026-02-23 00:00,19.70194589,-103.4638945,C3ntro,"Banco del Bienestar - Ciudad Guzmán,  situación de riesgo debido a quema de instalaciones. 
",6664aa95-33de-458a-bbcb-beb8a099f730
8,🚨⚠️🔫 Situación de riesgo por quema de banco del Bienestar JALISCO,safety,PAST,2026-02-22 21:30,2026-02-23 00:00,21.13386612,-102.0098067,C3ntro,"Banco del Bienestar Union de San Antonio, situación de riesgo debido a quema de instalaciones. 
",27f22799-cc63-4917-a5fa-886d75271096
9,🚨⚠️🔫 Situación de riesgo por quema de banco del Bienestar JALISCO,safety,PAST,2026-02-22 21:29,2026-02-23 00:00,20.54521048,-102.5153096,C3ntro," Atotonilco el Alto Banco del Bienestar, situación de riesgo debido a quema de instalaciones. ",98ea7abe-ff66-4b5f-ac36-10a49a8abdba
10,🚨⚠️🔫 Situación de riesgo por quema de banco del Bienestar JALISCO,safety,PAST,2026-02-22 21:27,2026-02-23 00:00,20.99644203,-101.9886306,C3ntro,"Banco del Bienestar-San Diego de Alejandría, situación de riesgo debido a quema de instalaciones. ",62ec7d64-3a57-4531-ac1e-1268ba7bfc14
